strategy_id,strategy_2166,strategy_2175,strategy_2176,strategy_2177,strategy_2184,strategy_2185,strategy_2186,strategy_2256,strategy_2257,strategy_2258,strategy_2346,strategy_2445,strategy_2446,strategy_2447,strategy_2535,strategy_2536,strategy_2537,strategy_2625,strategy_2626,strategy_2627,strategy_2634,strategy_2635,strategy_2636
strategy_2166,1.0,0.9999594380783672,0.9999594380783672,0.9999594380783672,0.9998393211374669,0.9998393211374669,0.9998393211374669,0.7607354314290286,0.7607354314290286,0.7607354314290286,0.7626305936268019,0.7814538974160996,0.7814538974160996,0.7814538974160996,0.8601726234288224,0.8601726234288224,0.8601726234288224,0.9061342183969695,0.9061342183969695,0.9061342183969695,0.9057214668495348,0.9057214668495348,0.9057214668495348
strategy_2175,0.9999594380783672,1.0,1.0,1.0,0.9999602146317615,0.9999602146317615,0.9999602146317615,0.7609729913202525,0.7609729913202525,0.7609729913202525,0.7628859067490761,0.7815663979831619,0.7815663979831619,0.7815663979831619,0.8601576941151364,0.8601576941151364,0.8601576941151364,0.9063412413455969,0.9063412413455969,0.9063412413455969,0.906000401931242,0.906000401931242,0.906000401931242
strategy_2176,0.9999594380783672,1.0,1.0,1.0,0.9999602146317615,0.9999602146317615,0.9999602146317615,0.7609729913202525,0.7609729913202525,0.7609729913202525,0.7628859067490761,0.7815663979831619,0.7815663979831619,0.7815663979831619,0.8601576941151364,0.8601576941151364,0.8601576941151364,0.9063412413455969,0.9063412413455969,0.9063412413455969,0.906000401931242,0.906000401931242,0.906000401931242
strategy_2177,0.9999594380783672,1.0,1.0,1.0,0.9999602146317615,0.9999602146317615,0.9999602146317615,0.7609729913202525,0.7609729913202525,0.7609729913202525,0.7628859067490761,0.7815663979831619,0.7815663979831619,0.7815663979831619,0.8601576941151364,0.8601576941151364,0.8601576941151364,0.9063412413455969,0.9063412413455969,0.9063412413455969,0.906000401931242,0.906000401931242,0.906000401931242
strategy_2184,0.9998393211374669,0.9999602146317615,0.9999602146317615,0.9999602146317615,1.0,1.0,1.0,0.7611410661169956,0.7611410661169956,0.7611410661169956,0.7630714494350952,0.7816064323218148,0.7816064323218148,0.7816064323218148,0.8600677581977312,0.8600677581977312,0.8600677581977312,0.9064640248819105,0.9064640248819105,0.9064640248819105,0.9061940203242544,0.9061940203242544,0.9061940203242544
strategy_2185,0.9998393211374669,0.9999602146317615,0.9999602146317615,0.9999602146317615,1.0,1.0,1.0,0.7611410661169956,0.7611410661169956,0.7611410661169956,0.7630714494350952,0.7816064323218148,0.7816064323218148,0.7816064323218148,0.8600677581977312,0.8600677581977312,0.8600677581977312,0.9064640248819105,0.9064640248819105,0.9064640248819105,0.9061940203242544,0.9061940203242544,0.9061940203242544
strategy_2186,0.9998393211374669,0.9999602146317615,0.9999602146317615,0.9999602146317615,1.0,1.0,1.0,0.7611410661169956,0.7611410661169956,0.7611410661169956,0.7630714494350952,0.7816064323218148,0.7816064323218148,0.7816064323218148,0.8600677581977312,0.8600677581977312,0.8600677581977312,0.9064640248819105,0.9064640248819105,0.9064640248819105,0.9061940203242544,0.9061940203242544,0.9061940203242544
strategy_2256,0.7607354314290286,0.7609729913202525,0.7609729913202525,0.7609729913202525,0.7611410661169956,0.7611410661169956,0.7611410661169956,1.0,1.0,1.0,0.9997434123380559,0.9757575954868082,0.9757575954868082,0.9757575954868082,0.8913122041501796,0.8913122041501796,0.8913122041501796,0.8021724474535293,0.8021724474535293,0.8021724474535293,0.802167378553668,0.802167378553668,0.802167378553668
strategy_2257,0.7607354314290286,0.7609729913202525,0.7609729913202525,0.7609729913202525,0.7611410661169956,0.7611410661169956,0.7611410661169956,1.0,1.0,1.0,0.9997434123380559,0.9757575954868082,0.9757575954868082,0.9757575954868082,0.8913122041501796,0.8913122041501796,0.8913122041501796,0.8021724474535293,0.8021724474535293,0.8021724474535293,0.802167378553668,0.802167378553668,0.802167378553668
strategy_2258,0.7607354314290286,0.7609729913202525,0.7609729913202525,0.7609729913202525,0.7611410661169956,0.7611410661169956,0.7611410661169956,1.0,1.0,1.0,0.9997434123380559,0.9757575954868082,0.9757575954868082,0.9757575954868082,0.8913122041501796,0.8913122041501796,0.8913122041501796,0.8021724474535293,0.8021724474535293,0.8021724474535293,0.802167378553668,0.802167378553668,0.802167378553668
strategy_2346,0.7626305936268019,0.7628859067490761,0.7628859067490761,0.7628859067490761,0.7630714494350952,0.7630714494350952,0.7630714494350952,0.9997434123380559,0.9997434123380559,0.9997434123380559,1.0,0.9764969351553678,0.9764969351553678,0.9764969351553678,0.8935608557577082,0.8935608557577082,0.8935608557577082,0.8041788239479685,0.8041788239479685,0.8041788239479685,0.8041933769634484,0.8041933769634484,0.8041933769634484
strategy_2445,0.7814538974160996,0.7815663979831619,0.7815663979831619,0.7815663979831619,0.7816064323218148,0.7816064323218148,0.7816064323218148,0.9757575954868082,0.9757575954868082,0.9757575954868082,0.9764969351553678,1.0,1.0,1.0,0.915008717028332,0.915008717028332,0.915008717028332,0.8213429947241356,0.8213429947241356,0.8213429947241356,0.8212428703780776,0.8212428703780776,0.8212428703780776
strategy_2446,0.7814538974160996,0.7815663979831619,0.7815663979831619,0.7815663979831619,0.7816064323218148,0.7816064323218148,0.7816064323218148,0.9757575954868082,0.9757575954868082,0.9757575954868082,0.9764969351553678,1.0,1.0,1.0,0.915008717028332,0.915008717028332,0.915008717028332,0.8213429947241356,0.8213429947241356,0.8213429947241356,0.8212428703780776,0.8212428703780776,0.8212428703780776
strategy_2447,0.7814538974160996,0.7815663979831619,0.7815663979831619,0.7815663979831619,0.7816064323218148,0.7816064323218148,0.7816064323218148,0.9757575954868082,0.9757575954868082,0.9757575954868082,0.9764969351553678,1.0,1.0,1.0,0.915008717028332,0.915008717028332,0.915008717028332,0.8213429947241356,0.8213429947241356,0.8213429947241356,0.8212428703780776,0.8212428703780776,0.8212428703780776
strategy_2535,0.8601726234288224,0.8601576941151364,0.8601576941151364,0.8601576941151364,0.8600677581977312,0.8600677581977312,0.8600677581977312,0.8913122041501796,0.8913122041501796,0.8913122041501796,0.8935608557577082,0.915008717028332,0.915008717028332,0.915008717028332,1.0,1.0,1.0,0.9247366203657293,0.9247366203657293,0.9247366203657293,0.9244154861260244,0.9244154861260244,0.9244154861260244
strategy_2536,0.8601726234288224,0.8601576941151364,0.8601576941151364,0.8601576941151364,0.8600677581977312,0.8600677581977312,0.8600677581977312,0.8913122041501796,0.8913122041501796,0.8913122041501796,0.8935608557577082,0.915008717028332,0.915008717028332,0.915008717028332,1.0,1.0,1.0,0.9247366203657293,0.9247366203657293,0.9247366203657293,0.9244154861260244,0.9244154861260244,0.9244154861260244
strategy_2537,0.8601726234288224,0.8601576941151364,0.8601576941151364,0.8601576941151364,0.8600677581977312,0.8600677581977312,0.8600677581977312,0.8913122041501796,0.8913122041501796,0.8913122041501796,0.8935608557577082,0.915008717028332,0.915008717028332,0.915008717028332,1.0,1.0,1.0,0.9247366203657293,0.9247366203657293,0.9247366203657293,0.9244154861260244,0.9244154861260244,0.9244154861260244
strategy_2625,0.9061342183969695,0.9063412413455969,0.9063412413455969,0.9063412413455969,0.9064640248819105,0.9064640248819105,0.9064640248819105,0.8021724474535293,0.8021724474535293,0.8021724474535293,0.8041788239479685,0.8213429947241356,0.8213429947241356,0.8213429947241356,0.9247366203657293,0.9247366203657293,0.9247366203657293,1.0,1.0,1.0,0.9999489369843557,0.9999489369843557,0.9999489369843557
strategy_2626,0.9061342183969695,0.9063412413455969,0.9063412413455969,0.9063412413455969,0.9064640248819105,0.9064640248819105,0.9064640248819105,0.8021724474535293,0.8021724474535293,0.8021724474535293,0.8041788239479685,0.8213429947241356,0.8213429947241356,0.8213429947241356,0.9247366203657293,0.9247366203657293,0.9247366203657293,1.0,1.0,1.0,0.9999489369843557,0.9999489369843557,0.9999489369843557
strategy_2627,0.9061342183969695,0.9063412413455969,0.9063412413455969,0.9063412413455969,0.9064640248819105,0.9064640248819105,0.9064640248819105,0.8021724474535293,0.8021724474535293,0.8021724474535293,0.8041788239479685,0.8213429947241356,0.8213429947241356,0.8213429947241356,0.9247366203657293,0.9247366203657293,0.9247366203657293,1.0,1.0,1.0,0.9999489369843557,0.9999489369843557,0.9999489369843557
strategy_2634,0.9057214668495348,0.906000401931242,0.906000401931242,0.906000401931242,0.9061940203242544,0.9061940203242544,0.9061940203242544,0.802167378553668,0.802167378553668,0.802167378553668,0.8041933769634484,0.8212428703780776,0.8212428703780776,0.8212428703780776,0.9244154861260244,0.9244154861260244,0.9244154861260244,0.9999489369843557,0.9999489369843557,0.9999489369843557,1.0,1.0,1.0
strategy_2635,0.9057214668495348,0.906000401931242,0.906000401931242,0.906000401931242,0.9061940203242544,0.9061940203242544,0.9061940203242544,0.802167378553668,0.802167378553668,0.802167378553668,0.8041933769634484,0.8212428703780776,0.8212428703780776,0.8212428703780776,0.9244154861260244,0.9244154861260244,0.9244154861260244,0.9999489369843557,0.9999489369843557,0.9999489369843557,1.0,1.0,1.0
strategy_2636,0.9057214668495348,0.906000401931242,0.906000401931242,0.906000401931242,0.9061940203242544,0.9061940203242544,0.9061940203242544,0.802167378553668,0.802167378553668,0.802167378553668,0.8041933769634484,0.8212428703780776,0.8212428703780776,0.8212428703780776,0.9244154861260244,0.9244154861260244,0.9244154861260244,0.9999489369843557,0.9999489369843557,0.9999489369843557,1.0,1.0,1.0
